"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6683","Mobile TC_118:Check pagination of all events if present with Z-A filter @regression","Browser:Google Chrome","Wed Dec 03 06:12:12 UTC 2025","passed","Wed Dec 03 06:12:19 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","14568","Desktop TC_093:Successful Articles submenu Marketplace Redirection @regression","Browser:Google Chrome","Wed Dec 03 06:14:56 UTC 2025","passed","Wed Dec 03 06:15:11 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","13938","Mobile TC_145:Featured Events Pagination functionality @regression","Browser:Google Chrome","Wed Dec 03 06:13:41 UTC 2025","passed","Wed Dec 03 06:13:55 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","79461","Desktop TC_074:Articles partners Explore buttons redirection @regression","Browser:Google Chrome","Wed Dec 03 06:17:43 UTC 2025","passed","Wed Dec 03 06:19:02 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","14282","Desktop TC_013:Successful Company Logo Redirection @regression","Browser:Google Chrome","Wed Dec 03 06:10:19 UTC 2025","passed","Wed Dec 03 06:10:33 UTC 2025","Navbar","functional/3_Navbar/navbar.spec.js","",""
"","7926","Mobile TC_087:Articles Footer form Instagram redirection @regression","Browser:Google Chrome","Wed Dec 03 06:10:18 UTC 2025","passed","Wed Dec 03 06:10:26 UTC 2025","Articles footer subscribe form","functional/5_AllArticles/footerSubscribeForm.spec.js","",""
"","14697","Mobile TC_032:Successful redirection on Job board submenu @regression","Browser:Google Chrome","Wed Dec 03 06:12:42 UTC 2025","passed","Wed Dec 03 06:12:57 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","8436","Tablet TC_083:Articles Footer form Terms of use link @regression","Browser:Google Chrome","Wed Dec 03 06:09:14 UTC 2025","passed","Wed Dec 03 06:09:22 UTC 2025","Articles footer subscribe form","functional/5_AllArticles/footerSubscribeForm.spec.js","",""
"","15379","Tablet TC_057:Article pagination with two filters popular tab and pagination check @regression","Browser:Google Chrome","Wed Dec 03 06:15:13 UTC 2025","passed","Wed Dec 03 06:15:28 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","16319","Desktop TC_099:Successful Articles submenu Animations Redirection @regression","Browser:Google Chrome","Wed Dec 03 06:07:00 UTC 2025","passed","Wed Dec 03 06:07:17 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","80019","Tablet TC_077:Articles Footer form email field validation @regression","Browser:Google Chrome","Wed Dec 03 06:08:10 UTC 2025","passed","Wed Dec 03 06:09:30 UTC 2025","Articles footer subscribe form","functional/5_AllArticles/footerSubscribeForm.spec.js","",""
"","24684","Tablet TC_142:Successful redirection ICalender of event cards of offline events @regression","Browser:Google Chrome","Wed Dec 03 06:12:41 UTC 2025","passed","Wed Dec 03 06:13:06 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","8058","Laptop TC_118:Check pagination of all events if present with Z-A filter @regression","Browser:Google Chrome","Wed Dec 03 06:12:06 UTC 2025","passed","Wed Dec 03 06:12:14 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","7594","Tablet TC_152: Footer form Disclaimer link @regression","Browser:Google Chrome","Wed Dec 03 06:14:26 UTC 2025","passed","Wed Dec 03 06:14:33 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","59746","Desktop TC_134:Successful redirection of all official website of event cards of all events @regression","Browser:Google Chrome","Wed Dec 03 06:09:09 UTC 2025","passed","Wed Dec 03 06:10:09 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","48299","Laptop TC_135:Successful redirection of all official website of event cards of online events @regression","Browser:Google Chrome","Wed Dec 03 06:10:01 UTC 2025","passed","Wed Dec 03 06:10:50 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","13071","Laptop TC_092:Successful Articles submenu Outsourcing cases Redirection @regression","Browser:Google Chrome","Wed Dec 03 06:14:48 UTC 2025","passed","Wed Dec 03 06:15:01 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","15930","Tablet TC_008:Login with LinkdIn redirection link @regression","Browser:Google Chrome","Wed Dec 03 06:08:51 UTC 2025","passed","Wed Dec 03 06:09:07 UTC 2025","Login to 80LV","functional/1_Login/login.spec.js","",""
"","14686","Desktop TC_065:Article pagination without filter new button result @regression","Browser:Google Chrome","Wed Dec 03 06:16:23 UTC 2025","passed","Wed Dec 03 06:16:38 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","17487","Laptop TC_099:Successful Articles submenu Animations Redirection @regression","Browser:Google Chrome","Wed Dec 03 06:07:01 UTC 2025","passed","Wed Dec 03 06:07:18 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","16297","Mobile TC_101:Successful Articles submenu Materials Redirection @regression","Browser:Google Chrome","Wed Dec 03 06:07:44 UTC 2025","passed","Wed Dec 03 06:08:00 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","23344","Laptop TC_050:Articles New button result with five filters applied @regression","Browser:Google Chrome","Wed Dec 03 06:10:45 UTC 2025","passed","Wed Dec 03 06:11:08 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","4459","Mobile TC_112:Successful redirection on all sponsored tag present @regression","Browser:Google Chrome","Wed Dec 03 06:11:08 UTC 2025","passed","Wed Dec 03 06:11:13 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","10962","Laptop TC_139:Successful redirection Google Calender of event cards of offline events @regression","Browser:Google Chrome","Wed Dec 03 06:11:31 UTC 2025","passed","Wed Dec 03 06:11:42 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","5433","Mobile TC_048:Successful popular button result @regression","Browser:Google Chrome","Wed Dec 03 06:10:19 UTC 2025","passed","Wed Dec 03 06:10:24 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","8201","Desktop TC_116:Check pagination of all events if present with newest filter @regression","Browser:Google Chrome","Wed Dec 03 06:11:33 UTC 2025","passed","Wed Dec 03 06:11:41 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","7368","Tablet TC_146:Featured Events all events  redirections @regression","Browser:Google Chrome","Wed Dec 03 06:13:45 UTC 2025","passed","Wed Dec 03 06:13:52 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","8385","Mobile TC_069:Article newletter valid Subscription @regression","Browser:Google Chrome","Wed Dec 03 06:17:02 UTC 2025","passed","Wed Dec 03 06:17:11 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","12361","Laptop TC_100:Successful Articles submenu Gamedev Redirection @regression","Browser:Google Chrome","Wed Dec 03 06:07:18 UTC 2025","passed","Wed Dec 03 06:07:31 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","8050","Desktop TC_081:Articles Footer form Disclaimer link @regression","Browser:Google Chrome","Wed Dec 03 06:08:49 UTC 2025","passed","Wed Dec 03 06:08:57 UTC 2025","Articles footer subscribe form","functional/5_AllArticles/footerSubscribeForm.spec.js","",""
"","12958","Laptop TC_036:Successful redirection on events @regression","Browser:Google Chrome","Wed Dec 03 06:13:06 UTC 2025","passed","Wed Dec 03 06:13:19 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","8684","Desktop TC_119:Check pagination of online events if present with newest filter @regression","Browser:Google Chrome","Wed Dec 03 06:12:14 UTC 2025","passed","Wed Dec 03 06:12:23 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","8740","Laptop TC_082:Articles Footer form Privacy Policy link @regression","Browser:Google Chrome","Wed Dec 03 06:08:59 UTC 2025","passed","Wed Dec 03 06:09:08 UTC 2025","Articles footer subscribe form","functional/5_AllArticles/footerSubscribeForm.spec.js","",""
"","54145","Desktop TC_084:Articles Footer form Facebook redirection @regression","Browser:Google Chrome","Wed Dec 03 06:09:22 UTC 2025","passed","Wed Dec 03 06:10:17 UTC 2025","Articles footer subscribe form","functional/5_AllArticles/footerSubscribeForm.spec.js","",""
"","57271","Tablet TC_092:Successful Articles submenu Outsourcing cases Redirection @regression","Browser:Google Chrome","Wed Dec 03 06:14:49 UTC 2025","passed","Wed Dec 03 06:15:46 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","15249","Tablet TC_056:Articles Filter Applied multiple filter @regression","Browser:Google Chrome","Wed Dec 03 06:07:36 UTC 2025","passed","Wed Dec 03 06:07:51 UTC 2025","All Articles filters","functional/5_AllArticles/filterAllArticles.spec.js","",""
"","15749","Laptop TC_094:Successful Articles submenu Environment Art Redirection @regression","Browser:Google Chrome","Wed Dec 03 06:15:16 UTC 2025","passed","Wed Dec 03 06:15:32 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","7611","Mobile TC_146:Featured Events all events  redirections @regression","Browser:Google Chrome","Wed Dec 03 06:13:49 UTC 2025","passed","Wed Dec 03 06:13:57 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","13981","Desktop TC_062:Successful Pagination Left Arrow visibility and functionality Check @regression","Browser:Google Chrome","Wed Dec 03 06:15:48 UTC 2025","passed","Wed Dec 03 06:16:02 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","78815","Mobile TC_049:Successful new button result @regression","Browser:Google Chrome","Wed Dec 03 06:10:33 UTC 2025","passed","Wed Dec 03 06:11:52 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","21621","Tablet TC_054:Successful bookmark of article with login @regression","Browser:Google Chrome","Wed Dec 03 06:14:35 UTC 2025","passed","Wed Dec 03 06:14:56 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","9437","Mobile TC_074:Articles partners Explore buttons redirection @regression","Browser:Google Chrome","Wed Dec 03 06:17:54 UTC 2025","passed","Wed Dec 03 06:18:03 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","13851","Tablet TC_110:Successful Articles submenu 80 level China Redirection @regression","Browser:Google Chrome","Wed Dec 03 06:10:05 UTC 2025","passed","Wed Dec 03 06:10:19 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","34686","Tablet TC_073:Articles partners Image click redirection @regression","Browser:Google Chrome","Wed Dec 03 06:17:11 UTC 2025","passed","Wed Dec 03 06:17:45 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","11427","Mobile TC_055:Articles Filter Applied single filter @regression","Browser:Google Chrome","Wed Dec 03 06:07:25 UTC 2025","passed","Wed Dec 03 06:07:36 UTC 2025","All Articles filters","functional/5_AllArticles/filterAllArticles.spec.js","",""
"","5034","Desktop TC_144:Successful redirection of iCalender button @regression","Browser:Google Chrome","Wed Dec 03 06:13:20 UTC 2025","passed","Wed Dec 03 06:13:26 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","11260","Tablet TC_145:Featured Events Pagination functionality @regression","Browser:Google Chrome","Wed Dec 03 06:13:32 UTC 2025","passed","Wed Dec 03 06:13:44 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","15038","Desktop TC_064:Article pagination with single filter popular tab and pagination check  @regression","Browser:Google Chrome","Wed Dec 03 06:16:08 UTC 2025","passed","Wed Dec 03 06:16:23 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","7254","Desktop TC_150: Footer form About & Contact us link @regression","Browser:Google Chrome","Wed Dec 03 06:14:03 UTC 2025","passed","Wed Dec 03 06:14:11 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","26069","Desktop TC_050:Articles New button result with five filters applied @regression","Browser:Google Chrome","Wed Dec 03 06:10:39 UTC 2025","passed","Wed Dec 03 06:11:05 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","49565","Desktop TC_139:Successful redirection Google Calender of event cards of offline events @regression","Browser:Google Chrome","Wed Dec 03 06:11:27 UTC 2025","passed","Wed Dec 03 06:12:17 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","8691","Laptop TC_127:Valid Search functionality in Offline events @regression","Browser:Google Chrome","Wed Dec 03 06:07:17 UTC 2025","passed","Wed Dec 03 06:07:25 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","10627","Laptop TC_124:Check pagination of offline events if present with Z-A filter @regression","Browser:Google Chrome","Wed Dec 03 06:13:33 UTC 2025","passed","Wed Dec 03 06:13:44 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","7002","Laptop TC_117:Check pagination of all events if present with A-Z filter @regression","Browser:Google Chrome","Wed Dec 03 06:11:54 UTC 2025","passed","Wed Dec 03 06:12:01 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","37870","Tablet TC_038:Successful Navigation to all articles submenu @regression","Browser:Google Chrome","Wed Dec 03 06:11:58 UTC 2025","passed","Wed Dec 03 06:12:36 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","121812","Tablet TC_059:Articles Popular button result with Empty result @regression","Browser:Google Chrome","Wed Dec 03 06:13:31 UTC 2025","passed","Wed Dec 03 06:15:33 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
