"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 02 06:51:13 UTC 2025","Tue Dec 02 06:51:23 UTC 2025","10360","Browser:Google Chrome","functional/3_Navbar/navbar.spec.js","Navbar","","","Desktop TC_012:Successful Colored Header Button redirection @regression",""
"passed","Tue Dec 02 06:56:13 UTC 2025","Tue Dec 02 06:56:27 UTC 2025","14261","Browser:Google Chrome","functional/4_Menubar/menubar.spec.js","Menubar","","","Desktop TC_093:Successful Articles submenu Marketplace Redirection @regression",""
"passed","Tue Dec 02 06:51:09 UTC 2025","Tue Dec 02 06:51:20 UTC 2025","10855","Browser:Google Chrome","functional/3_Navbar/navbar.spec.js","Navbar","","","Mobile TC_011:Successful Advertise redirection @regression",""
"passed","Tue Dec 02 06:51:55 UTC 2025","Tue Dec 02 06:52:07 UTC 2025","11367","Browser:Google Chrome","functional/3_Navbar/search.spec.js","Navbar Search","","","Desktop TC_014:Successful search modal seen @regression",""
"passed","Tue Dec 02 06:49:28 UTC 2025","Tue Dec 02 06:49:48 UTC 2025","20972","Browser:Google Chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Mobile TC_006:Login with Xsolla redirection link @regression",""
"passed","Tue Dec 02 06:48:35 UTC 2025","Tue Dec 02 06:48:57 UTC 2025","21950","Browser:Google Chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Mobile TC_002:Successful login(Without session @regression)",""
"passed","Tue Dec 02 06:53:53 UTC 2025","Tue Dec 02 06:54:04 UTC 2025","10763","Browser:Google Chrome","functional/4_Menubar/menubar.spec.js","Menubar","","","Desktop TC_033:Successful redirection on Talent Platform submenu (with company login) @regression",""
"passed","Tue Dec 02 06:52:38 UTC 2025","Tue Dec 02 06:52:55 UTC 2025","17127","Browser:Google Chrome","functional/3_Navbar/search.spec.js","Navbar Search","","","Desktop TC_017:Successfully clearred searched value @regression",""
"passed","Tue Dec 02 06:50:21 UTC 2025","Tue Dec 02 06:50:41 UTC 2025","19934","Browser:Google Chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Tablet @regression TC_009:Login with Twitter redirection link",""
"passed","Tue Dec 02 06:57:00 UTC 2025","Tue Dec 02 06:57:15 UTC 2025","14786","Browser:Google Chrome","functional/4_Menubar/menubar.spec.js","Menubar","","","Desktop TC_097:Successful Articles submenu VFX Redirection @regression",""
"passed","Tue Dec 02 06:52:26 UTC 2025","Tue Dec 02 06:52:41 UTC 2025","14863","Browser:Google Chrome","functional/3_Navbar/search.spec.js","Navbar Search","","","Tablet TC_016:Invaild Search results @regression",""
"passed","Tue Dec 02 06:53:52 UTC 2025","Tue Dec 02 06:54:03 UTC 2025","10693","Browser:Google Chrome","functional/4_Menubar/menubar.spec.js","Menubar","","","Mobile TC_032:Successful redirection on Job board submenu @regression",""
"passed","Tue Dec 02 06:56:07 UTC 2025","Tue Dec 02 06:56:26 UTC 2025","18818","Browser:Google Chrome","functional/4_Menubar/menubar.spec.js","Menubar","","","Tablet TC_092:Successful Articles submenu Outsourcing cases Redirection @regression",""
"passed","Tue Dec 02 06:52:20 UTC 2025","Tue Dec 02 06:52:45 UTC 2025","25510","Browser:Google Chrome","functional/3_Navbar/search.spec.js","Navbar Search","","","Desktop TC_016:Invaild Search results @regression",""
"passed","Tue Dec 02 06:49:04 UTC 2025","Tue Dec 02 06:49:12 UTC 2025","7533","Browser:Google Chrome","functional/1_Login/login.spec.js","Login to 80LV","","","Tablet TC_004:Successful login with session (company) @regression",""
"passed","Tue Dec 02 06:54:08 UTC 2025","Tue Dec 02 06:54:18 UTC 2025","9736","Browser:Google Chrome","functional/4_Menubar/menubar.spec.js","Menubar","","","Desktop TC_036:Successful redirection on events @regression",""
"passed","Tue Dec 02 06:55:35 UTC 2025","Tue Dec 02 06:55:46 UTC 2025","11743","Browser:Google Chrome","functional/4_Menubar/menubar.spec.js","Menubar","","","Mobile TC_090:Successful Articles submenu Interviews Redirection @regression",""
