"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20514","Tablet TC_033:Successful redirection on Talent Platform submenu (with company login) @regression","Browser:Google Chrome","Thu Dec 04 07:40:31 UTC 2025","passed","Thu Dec 04 07:40:52 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","24826","Desktop TC_133:Check expantion and collapse of events card of events in offline events tab @regression","Browser:Google Chrome","Thu Dec 04 07:37:24 UTC 2025","passed","Thu Dec 04 07:37:49 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","62241","Laptop TC_133:Check expantion and collapse of events card of events in offline events tab @regression","Browser:Google Chrome","Thu Dec 04 07:37:27 UTC 2025","passed","Thu Dec 04 07:38:29 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","45407","Laptop TC_148: Footer form email field validation @regression","Browser:Google Chrome","Thu Dec 04 07:42:42 UTC 2025","passed","Thu Dec 04 07:43:27 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","17499","Laptop TC_007:Login with Google redirection link @regression","Browser:Google Chrome","Thu Dec 04 07:36:48 UTC 2025","passed","Thu Dec 04 07:37:05 UTC 2025","Login to 80LV","functional/1_Login/login.spec.js","",""
"","40442","Laptop TC_092:Successful Articles submenu Outsourcing cases Redirection @regression","Browser:Google Chrome","Thu Dec 04 07:42:18 UTC 2025","passed","Thu Dec 04 07:42:58 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","32147","Tablet TC_004:Successful login with session (company) @regression","Browser:Google Chrome","Thu Dec 04 07:36:07 UTC 2025","passed","Thu Dec 04 07:36:39 UTC 2025","Login to 80LV","functional/1_Login/login.spec.js","",""
"","5007","Tablet TC_149: Footer form successful subscription @regression","Browser:Google Chrome","Thu Dec 04 07:42:53 UTC 2025","passed","Thu Dec 04 07:42:58 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","17786","Laptop TC_056:Articles Filter Applied multiple filter @regression","Browser:Google Chrome","Thu Dec 04 07:36:24 UTC 2025","passed","Thu Dec 04 07:36:42 UTC 2025","All Articles filters","functional/5_AllArticles/filterAllArticles.spec.js","",""
"","16702","Tablet TC_143:Successful redirection of Google button @regression","Browser:Google Chrome","Thu Dec 04 07:41:59 UTC 2025","passed","Thu Dec 04 07:42:15 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","7776","Laptop TC_146:Featured Events all events  redirections @regression","Browser:Google Chrome","Thu Dec 04 07:42:34 UTC 2025","passed","Thu Dec 04 07:42:42 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","24735","Mobile TC_142:Successful redirection ICalender of event cards of offline events @regression","Browser:Google Chrome","Thu Dec 04 07:41:34 UTC 2025","passed","Thu Dec 04 07:41:59 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","9456","Laptop TC_069:Article newletter valid Subscription @regression","Browser:Google Chrome","Thu Dec 04 07:45:25 UTC 2025","passed","Thu Dec 04 07:45:35 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","16357","Tablet TC_132:Check expantion and collapse of events card of events in online events tab @regression","Browser:Google Chrome","Thu Dec 04 07:37:10 UTC 2025","passed","Thu Dec 04 07:37:27 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","6993","Tablet TC_138:Successful redirection Google Calender of event cards of online events @regression","Browser:Google Chrome","Thu Dec 04 07:40:33 UTC 2025","passed","Thu Dec 04 07:40:40 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","13326","Mobile TC_104:Successful Articles submenu SPosored by unreal engine Redirection @regression","Browser:Google Chrome","Thu Dec 04 07:37:12 UTC 2025","passed","Thu Dec 04 07:37:25 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","46768","Tablet TC_129:Invalid Search functionality in Online events @regression","Browser:Google Chrome","Thu Dec 04 07:36:22 UTC 2025","passed","Thu Dec 04 07:37:09 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","12555","Desktop TC_110:Successful Articles submenu 80 level China Redirection @regression","Browser:Google Chrome","Thu Dec 04 07:38:38 UTC 2025","passed","Thu Dec 04 07:38:51 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","18431","Tablet TC_048:Successful popular button result @regression","Browser:Google Chrome","Thu Dec 04 07:39:11 UTC 2025","passed","Thu Dec 04 07:39:29 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","7902","Mobile TC_146:Featured Events all events  redirections @regression","Browser:Google Chrome","Thu Dec 04 07:42:40 UTC 2025","passed","Thu Dec 04 07:42:48 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
