"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6584","Laptop TC_069:Article newletter valid Subscription @regression","Browser:Google Chrome","Wed Dec 03 09:12:26 UTC 2025","passed","Wed Dec 03 09:12:32 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","9768","Laptop TC_135:Successful redirection of all official website of event cards of online events @regression","Browser:Google Chrome","Wed Dec 03 09:05:03 UTC 2025","passed","Wed Dec 03 09:05:13 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","11622","Laptop TC_055:Articles Filter Applied single filter @regression","Browser:Google Chrome","Wed Dec 03 09:02:30 UTC 2025","passed","Wed Dec 03 09:02:42 UTC 2025","All Articles filters","functional/5_AllArticles/filterAllArticles.spec.js","",""
"","6851","Mobile TC_012:Successful Colored Header Button redirection @regression","Browser:Google Chrome","Wed Dec 03 09:05:30 UTC 2025","passed","Wed Dec 03 09:05:37 UTC 2025","Navbar","functional/3_Navbar/navbar.spec.js","",""
"","8631","Mobile TC_014:Successful search modal seen @regression","Browser:Google Chrome","Wed Dec 03 09:06:13 UTC 2025","passed","Wed Dec 03 09:06:22 UTC 2025","Navbar Search","functional/3_Navbar/search.spec.js","",""
"","10670","Laptop TC_127:Valid Search functionality in Offline events @regression","Browser:Google Chrome","Wed Dec 03 09:02:37 UTC 2025","passed","Wed Dec 03 09:02:48 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","10361","Mobile TC_082:Articles Footer form Privacy Policy link @regression","Browser:Google Chrome","Wed Dec 03 09:04:25 UTC 2025","passed","Wed Dec 03 09:04:36 UTC 2025","Articles footer subscribe form","functional/5_AllArticles/footerSubscribeForm.spec.js","",""
"","55149","Tablet TC_007:Login with Google redirection link @regression","Browser:Google Chrome","Wed Dec 03 09:03:42 UTC 2025","passed","Wed Dec 03 09:04:37 UTC 2025","Login to 80LV","functional/1_Login/login.spec.js","",""
"","10655","Mobile TC_130:Invalid Search functionality in Offline events @regression","Browser:Google Chrome","Wed Dec 03 09:03:13 UTC 2025","passed","Wed Dec 03 09:03:24 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","6258","Tablet TC_048:Successful popular button result @regression","Browser:Google Chrome","Wed Dec 03 09:05:34 UTC 2025","passed","Wed Dec 03 09:05:40 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","47769","Tablet TC_139:Successful redirection Google Calender of event cards of offline events @regression","Browser:Google Chrome","Wed Dec 03 09:07:07 UTC 2025","passed","Wed Dec 03 09:07:55 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","6116","Laptop TC_112:Successful redirection on all sponsored tag present @regression","Browser:Google Chrome","Wed Dec 03 09:05:58 UTC 2025","passed","Wed Dec 03 09:06:04 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","10928","Laptop TC_157: Footer form YouTube redirection @regression","Browser:Google Chrome","Wed Dec 03 09:10:56 UTC 2025","passed","Wed Dec 03 09:11:07 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","14042","Mobile TC_106:Successful Articles submenu Digest Redirection @regression","Browser:Google Chrome","Wed Dec 03 09:04:24 UTC 2025","passed","Wed Dec 03 09:04:38 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
